0	1
1	2
2	3
3	4
4	5
5	6
0	7
7	8
8	9
9	10
10	11
11	12
0	13
13	14
0	15
0	16
16	17
0	18
18	19
19	20
20	21
21	22
0	23
23	24
24	25
25	26
0	27
0	28
28	29
29	30
30	31
31	32
0	33
0	34
34	35
35	36
0	37
37	38
0	39
39	40
40	41
0	42
42	43
0	44
0	45
45	46
0	47
0	48
48	49
0	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
0	58
58	59
0	60
60	61
61	62
62	63
63	64
0	65
65	66
0	67
0	68
68	69
69	70
0	71
71	72
0	73
73	74
74	75
75	76
0	77
77	78
78	79
79	80
80	81
0	82
82	83
83	84
84	85
0	86
86	87
87	88
0	89
0	90
90	91
0	92
92	93
0	94
0	95
95	96
96	97
0	98
0	99
0	100
100	101
0	102
0	103
0	104
104	105
105	106
106	107
107	108
108	109
109	110
110	111
0	112
112	113
113	114
0	115
115	116
0	117
117	118
0	119
119	120
120	121
0	122
122	123
123	124
0	125
125	126
126	127
127	128
0	129
129	130
0	131
0	132
0	133
